date,height,yield
1991.666667,-502.9,3
1984,-515,29
1985.25,-515,60
1986.5,-518.2,67
1967.75,-520.6,22
1970.416667,-529,105
1983.75,-532.5,2
1983.333333,-533.1,84
1979.5,-536,22
1979.166667,-536.4,20
1988.166667,-541.6,60
1983.25,-542.5,45
1987.833333,-542.5,38
1987.333333,-544.1,100
1989.5,-544.1,60
1986,-549,60
1982.75,-563.3,1
1982.416667,-563.9,99
1975.333333,-568.8,38
1978.916667,-576.1,2.5
1979.166667,-579.1,89
1980.333333,-579.1,89
1985.583333,-597,45
1990.833333,-600,140
1968.916667,-603.5,22
1986.333333,-609,80
1986.25,-609.6,29
1955.416667,-610,30
1988.666667,-615.7,140
1986.75,-616,140
1988.5,-620.3,80
1992.25,-622,100
1988.583333,-622.1,150
1983.75,-623.6,143
1987.333333,-625,100
1986.583333,-627,119
1991.333333,-629.4,140
1987,-635,140
1981.5,-637,140
1982.166667,-638,80
1984.25,-638.6,150
1982.083333,-638.9,139
1982.166667,-639.5,140
1982.5,-639.5,140
1978.416667,-640,0
1979.75,-640,140
1984.583333,-640,80
1985,-640,80
1989.5,-640.1,20
1991.333333,-641.6,80
1968.166667,-644.8,200
1980.5,-645,140
1976.166667,-654.6,160
1991.75,-658,100
1978.166667,-658.4,120
1985.416667,-660.2,150
1967.75,-667,160
1978,-668,150
1990.5,-673.9,150
1980.583333,-680,140
1978.666667,-681,140
1979.5,-681,100
1979,-689,140
1965.833333,-700,80
1967.833333,-714.2,160
1963.75,-714.3,249
1976,-716,160
1966.5,-819.3,365
1964.833333,-830,5.3
1967,-830,0.38
1975.5,-910.7,520
1968.083333,-980,1000
1976.166667,-1167,350
1976.166667,-1219,900
1969.833333,-1220,1000
1968,-1290,29
1971.916667,-1790,4800
1973.416667,-2040,33
1969.75,-2570,40
